uses_expectations_file,num_regressions,has_pretty_patch,date,other_crashes,num_passes,revision,layout_tests_dir,version,skipped,num_missing,num_flaky,fixable,pixel_tests_enabled,interrupted
True,226,True,"12:29AM on May 25, 2022",{},50359,250949@main,/app/webkit/LayoutTests,4,22450,0,0,26307,False,True
True,223,True,"01:46AM on May 25, 2022",{},50555,250950@main,/app/webkit/LayoutTests,4,22239,0,0,26112,False,True
True,231,True,"03:37AM on May 25, 2022",{},50712,250951@main,/app/webkit/LayoutTests,4,22079,0,0,25955,False,True
True,221,True,"07:55AM on May 25, 2022",{},50143,250952@main,/app/webkit/LayoutTests,4,22676,0,0,26524,False,True
True,224,True,"09:14AM on May 25, 2022",{},50288,250954@main,/app/webkit/LayoutTests,4,22522,0,0,26380,False,True
True,171,True,"10:53AM on May 25, 2022",{},52119,250957@main,/app/webkit/LayoutTests,4,20565,14,53,24549,False,False
True,230,True,"12:11PM on May 25, 2022",{},50952,250965@main,/app/webkit/LayoutTests,4,21825,0,0,25715,False,True
True,224,True,"01:28PM on May 25, 2022",{},50179,250971@main,/app/webkit/LayoutTests,4,22632,0,0,26488,False,True
True,176,True,"03:08PM on May 25, 2022",{},52118,250973@main,/app/webkit/LayoutTests,4,20565,14,55,24550,False,False
True,232,True,"04:24PM on May 25, 2022",{},50246,250980@main,/app/webkit/LayoutTests,4,22558,0,0,26422,False,True
True,229,True,"05:44PM on May 25, 2022",{},50612,250985@main,/app/webkit/LayoutTests,4,22177,0,0,26055,False,True
True,224,True,"07:00PM on May 25, 2022",{},50333,250986@main,/app/webkit/LayoutTests,4,22479,0,0,26334,False,True
True,225,True,"08:17PM on May 25, 2022",{},50214,250994@main,/app/webkit/LayoutTests,4,22590,0,0,26455,False,True
True,173,True,"09:56PM on May 25, 2022",{},52127,250995@main,/app/webkit/LayoutTests,4,20565,15,46,24542,False,False
True,173,True,"11:36PM on May 25, 2022",{},52126,250999@main,/app/webkit/LayoutTests,4,20565,14,57,24544,False,False
True,227,True,"01:10AM on May 26, 2022",{},50224,251002@main,/app/webkit/LayoutTests,4,22589,0,0,26445,False,True
True,231,True,"02:49AM on May 26, 2022",{},51735,251003@main,/app/webkit/LayoutTests,4,20995,0,0,24934,False,True
True,146,True,"04:33AM on May 26, 2022",{},29333,251004@main,/app/webkit/LayoutTests,4,44646,0,0,47337,False,True
True,70,True,"12:31PM on May 26, 2022",{},15891,251012@main,/app/webkit/LayoutTests,4,60069,0,0,60780,False,True
True,70,True,"08:27PM on May 26, 2022",{},15886,251036@main,/app/webkit/LayoutTests,4,60070,0,0,60786,False,True
True,71,True,"04:24AM on May 27, 2022",{},15894,251046@main,/app/webkit/LayoutTests,4,60067,0,0,60779,False,True
True,69,True,"12:20PM on May 27, 2022",{},15891,251053@main,/app/webkit/LayoutTests,4,60069,0,0,60782,False,True
True,69,True,"08:16PM on May 27, 2022",{},15891,251081@main,/app/webkit/LayoutTests,4,60068,0,0,60784,False,True
True,176,True,"11:01PM on May 27, 2022",{},52133,251081@main,/app/webkit/LayoutTests,4,20568,15,50,24542,False,False
True,174,True,"12:42AM on May 28, 2022",{},52122,251091@main,/app/webkit/LayoutTests,4,20568,15,54,24553,False,False
True,230,True,"02:08AM on May 28, 2022",{},52122,251092@main,/app/webkit/LayoutTests,4,20590,0,0,24553,False,True
True,178,True,"04:50AM on May 28, 2022",{},52139,251093@main,/app/webkit/LayoutTests,4,20568,14,41,24536,False,False
True,179,True,"06:51AM on May 28, 2022",{},52104,251094@main,/app/webkit/LayoutTests,4,20568,15,61,24571,False,False
True,233,True,"08:08AM on May 28, 2022",{},50476,251097@main,/app/webkit/LayoutTests,4,22324,0,0,26199,False,True
